Test,Cells per Block,Pixels per Cell,Orientations,Feature Size,AUC,Accuracy,Precision,Recall,Training Accuracy,Prediction Time (s),TP,TN,FP,FN
60,2,4,9,10260,0.9990763185806576,0.986253568785027,0.9862762825246874,0.986253568785027,1.0,1.9186899662017822,3401,5926,74,56
61,2,4,10,11400,0.9991197088033941,0.9878396954636777,0.9878852351572501,0.9878396954636777,1.0,2.15165114402771,3415,5927,73,42
62,2,4,11,12540,0.9990918908494841,0.987733953685101,0.9877775157692528,0.987733953685101,1.0,8.539637565612793,3414,5927,73,43
63,2,4,12,13680,0.999240622890753,0.9886856296922915,0.9887432882890973,0.9886856296922915,1.0,2.437723159790039,3422,5928,72,35
64,2,5,6,3960,0.9983766753447112,0.9830813154277255,0.9831655318816775,0.9830813154277255,1.0,0.7165324687957764,3398,5899,101,59
65,2,5,7,4620,0.9986522514704465,0.9836100243206091,0.9836788102983686,0.9836100243206091,1.0,0.8604304790496826,3398,5904,96,59
66,2,5,8,5280,0.9985733776877833,0.9838215078777625,0.9838651467326635,0.9838215078777625,1.0,1.0500504970550537,3394,5910,90,63
67,2,5,9,5940,0.9986218301031724,0.9844559585492227,0.9845456477088669,0.9844559585492227,1.0,1.0641882419586182,3406,5904,96,51
68,2,5,10,6600,0.9987546523961046,0.9848789256635296,0.9849449297960509,0.9848789256635296,1.0,1.1831204891204834,3404,5910,90,53
69,2,5,11,7260,0.9987589914183782,0.9858306016707201,0.9859137252493313,0.9858306016707201,1.0,1.3542921543121338,3412,5911,89,45
70,2,5,12,7920,0.9988962491563013,0.9854076345564132,0.9855102494332367,0.9854076345564132,1.0,1.393768310546875,3413,5906,94,44
71,2,6,6,2592,0.9985827306913508,0.9854076345564132,0.9854751094868351,0.9854076345564132,1.0,0.4880683422088623,3407,5912,88,50
72,2,6,7,3024,0.9988255230932408,0.9847731838849529,0.9848267780434988,0.9847731838849529,1.0,0.5772335529327393,3401,5912,88,56
73,2,6,8,3456,0.999150997975123,0.9868880194564873,0.9869169862233534,0.9868880194564873,1.0,0.665067195892334,3406,5927,73,51
74,2,6,9,3888,0.9990412689229582,0.9865707941207571,0.9866186775480273,0.9865707941207571,1.0,0.6761434078216553,3409,5921,79,48
75,2,6,10,4320,0.9991064988911388,0.9866765358993338,0.9867411564519512,0.9866765358993338,1.0,0.7674977779388428,3413,5918,82,44
76,2,6,11,4752,0.9991051007617395,0.9872052447922174,0.9872661488751349,0.9872052447922174,1.0,0.8917007446289062,3415,5921,79,42
77,2,6,12,5184,0.9992606306045705,0.9870995030136407,0.9871486658225523,0.9870995030136407,1.0,0.9155676364898682,3412,5923,77,45
78,2,7,6,1920,0.9979075306142127,0.9800148038490007,0.980136730022263,0.9800148038490007,0.9998333333333334,0.3336915969848633,3388,5880,120,69
79,2,7,7,2240,0.9981218301031723,0.9819181558633816,0.9821037270569242,0.9819181558633816,1.0,0.39738917350769043,3406,5880,120,51
80,2,7,8,2560,0.9983461575547199,0.9824468647562652,0.9825209999015645,0.9824468647562652,1.0,0.4552314281463623,3393,5898,102,64
81,2,7,9,2880,0.9982382123228233,0.9829755736491488,0.9831097951320437,0.9829755736491488,1.0,0.5210504531860352,3405,5891,109,52
82,2,7,10,3200,0.9984342879182336,0.9831870572063022,0.983327959999923,0.9831870572063022,1.0,0.5958411693572998,3407,5891,109,50
83,2,7,11,3520,0.9984196316652204,0.983292798984879,0.9834083377218136,0.983292798984879,1.0,0.6001110076904297,3404,5895,105,53
84,2,7,12,3840,0.9988300549609487,0.9850904092206831,0.9852247935625387,0.9850904092206831,1.0,0.7213397026062012,3416,5900,100,41
85,2,8,6,1512,0.9978415292642947,0.9817066723062282,0.981758541593081,0.9817066723062282,0.9998333333333334,0.28722047805786133,3385,5899,101,72
86,2,8,7,1764,0.9980120528396489,0.9807549962990377,0.9807965392500627,0.9807549962990377,0.9998333333333334,0.3049132823944092,3378,5897,103,79
87,2,8,8,2016,0.9984693857872915,0.9830813154277255,0.9831485433612396,0.9830813154277255,1.0,0.3581068515777588,3395,5902,98,62
88,2,8,9,2268,0.9982997300163918,0.981389446970498,0.981503822758,0.981389446970498,1.0,0.43498873710632324,3394,5887,113,63
89,2,8,10,2520,0.998704464371806,0.9836100243206091,0.9836585987315944,0.9836100243206091,1.0,0.4947693347930908,3394,5908,92,63
90,2,8,11,2772,0.9984230546716807,0.9829755736491488,0.9830571003893641,0.9829755736491488,1.0,0.5010228157043457,3397,5899,101,60
91,2,8,12,3024,0.99875171150323,0.9830813154277255,0.9831841639173813,0.9830813154277255,1.0,0.5311412811279297,3401,5896,104,56
92,2,9,6,1008,0.9955485006267476,0.9698635931056361,0.9702638350224262,0.9698635931056361,0.9916666666666667,0.18503570556640625,3364,5808,192,93
93,2,9,7,1176,0.995841625687012,0.9700750766627895,0.9705121556128533,0.9700750766627895,0.9951666666666666,0.22976946830749512,3368,5806,194,89
94,2,9,8,1344,0.9966997878700222,0.9743047478058581,0.9745694121090342,0.9743047478058581,0.9963333333333333,0.2568809986114502,3375,5839,161,82
95,2,9,9,1512,0.9964959020345194,0.9711324944485566,0.9715257171504937,0.9711324944485566,0.9968333333333333,0.26628875732421875,3370,5814,186,87
96,2,9,10,1680,0.9967536881689326,0.9737760389129745,0.974027868085725,0.9737760389129745,0.9983333333333333,0.30616235733032227,3371,5838,162,86
97,2,9,11,1848,0.99644161604474,0.9724013957914772,0.9726441565421546,0.9724013957914772,0.9996666666666667,0.3644826412200928,3363,5833,167,94
98,2,9,12,2016,0.9971110789702055,0.9753621655916253,0.9755556615981397,0.9753621655916253,0.9995,0.36209654808044434,3373,5851,149,84
99,2,10,6,840,0.9979295149937325,0.979909062070424,0.980134266888506,0.979909062070424,0.9933333333333333,0.1305832862854004,3400,5867,133,57
100,2,10,7,980,0.9981502265933855,0.9817066723062282,0.9818846337661822,0.9817066723062282,0.9953333333333333,0.18119025230407715,3404,5880,120,53
101,2,10,8,1120,0.9982821328705043,0.9801205456275774,0.9803265153848795,0.9801205456275774,0.9961666666666666,0.19662904739379883,3399,5870,130,58
102,2,10,9,1260,0.9982577379230546,0.9811779634133446,0.9813795678162585,0.9811779634133446,0.9985,0.2709043025970459,3404,5875,125,53
103,2,10,10,1400,0.9983895959888149,0.981389446970498,0.9816082252202116,0.981389446970498,0.9986666666666667,0.2551119327545166,3407,5874,126,50
104,2,10,11,1540,0.9982434191495516,0.979909062070424,0.9801731409433772,0.979909062070424,0.9995,0.2899942398071289,3404,5863,137,53
105,2,10,12,1680,0.99850274804744,0.9804377709633076,0.9807249446893028,0.9804377709633076,0.9995,0.3132476806640625,3409,5863,137,48
106,2,14,6,288,0.9893096615562627,0.9520989743047478,0.9530418460891628,0.9520989743047478,0.9641666666666666,0.08224630355834961,3307,5697,303,150
107,2,14,7,336,0.9932813132774083,0.9602410912551549,0.9611269459529658,0.9602410912551549,0.9711666666666666,0.046869754791259766,3346,5735,265,111
108,2,14,8,384,0.9939243081670043,0.9614042508194988,0.962271680045706,0.9614042508194988,0.9738333333333333,0.07326507568359375,3351,5741,259,106
109,2,14,9,432,0.9945278179539099,0.9635190863910331,0.9643517995852516,0.9635190863910331,0.975,0.09058046340942383,3360,5752,248,97
110,2,14,10,480,0.9949823546427539,0.9656339219625674,0.9663818562020496,0.9656339219625674,0.978,0.08788061141967773,3366,5766,234,91
111,2,14,11,528,0.9950373638029119,0.9659511472982976,0.9667557493776231,0.9659511472982976,0.9791666666666666,0.11052942276000977,3371,5764,236,86
112,2,14,12,576,0.9951005688940313,0.9657396637411442,0.966495113246053,0.9657396637411442,0.9805,0.11780548095703125,3367,5766,234,90
113,3,4,6,13608,0.999122456850834,0.9882626625779846,0.9882952637030732,0.9882626625779846,1.0,2.477520227432251,3414,5932,68,43
114,3,4,7,15876,0.9991815639764728,0.9885798879137148,0.9886101688649572,0.9885798879137148,1.0,2.878952741622925,3415,5934,66,42
115,3,4,8,18144,0.9993468325137403,0.9890028550280215,0.9890257122819803,0.9890028550280215,1.0,3.3557379245758057,3415,5938,62,42
116,3,4,9,20412,0.9992762510847556,0.9895315639209051,0.9895492572636164,0.9895315639209051,1.0,3.7903430461883545,3416,5942,58,41
117,3,4,10,22680,0.9992769742551344,0.9890028550280215,0.9890483921872324,0.9890028550280215,1.0,4.2258665561676025,3421,5932,68,36
118,3,4,11,24948,0.9993057564362164,0.9901660145923654,0.9901890367731129,0.9901660145923654,1.0,4.708535194396973,3421,5943,57,36
119,3,4,12,27216,0.999454633111561,0.989954531035212,0.9899921225266402,0.989954531035212,1.0,5.239139080047607,3424,5938,62,33
120,3,5,6,7560,0.9984222350785846,0.9824468647562652,0.9825387527707283,0.9824468647562652,1.0,1.307915210723877,3396,5895,105,61
121,3,5,7,8820,0.9987253881014369,0.9825526065348419,0.9826237107169669,0.9825526065348419,1.0,6.053300380706787,3393,5899,101,64
122,3,5,8,10080,0.9987497348375277,0.9841387332134927,0.984258523898962,0.9841387332134927,1.0,1.9627163410186768,3409,5898,102,48
123,3,5,9,11340,0.9988023816411147,0.9838215078777625,0.9839320799300298,0.9838215078777625,1.0,2.8358113765716553,3406,5898,102,51
124,3,5,10,12600,0.9989353967794813,0.9853018927778365,0.9854016307390067,0.9853018927778365,1.0,2.543215274810791,3412,5906,94,45
125,3,5,11,13860,0.9989750747276058,0.9851961509992598,0.9852993848713821,0.9851961509992598,1.0,8.837738513946533,3412,5905,95,45
126,3,5,12,15120,0.9991030758846784,0.9857248598921434,0.9858499678824163,0.9857248598921434,1.0,2.6650493144989014,3418,5904,96,39
127,3,6,6,4752,0.9986297849773407,0.9844559585492227,0.9845646382479909,0.9844559585492227,1.0,0.8728523254394531,3409,5901,99,48
128,3,6,7,5544,0.9988517018609584,0.9853018927778365,0.9854284028438972,0.9853018927778365,1.0,3.393979072570801,3416,5902,98,41
129,3,6,8,6336,0.9990048211358595,0.9858306016707201,0.9858971251418738,0.9858306016707201,1.0,1.1454529762268066,3409,5914,86,48
130,3,6,9,7128,0.9990142705621445,0.9863593105636037,0.9864382129948285,0.9863593105636037,1.0,1.2566401958465576,3414,5914,86,43
131,3,6,10,7920,0.999067785170186,0.9861478270064502,0.9862389955614839,0.9861478270064502,1.0,1.4241917133331299,3415,5911,89,42
132,3,6,11,8712,0.9990368334779673,0.9859363434492968,0.9860342598610946,0.9859363434492968,1.0,5.372628450393677,3415,5909,91,42
133,3,6,12,9504,0.999266174910809,0.9866765358993338,0.9867518468409386,0.9866765358993338,1.0,1.6734950542449951,3415,5916,84,42
